reviewContent,name,rating
barang tanpa kemasan tanpa pelindung apapun hanya dus tv saja liat dusnya sobek dikit sudah mulai curiga kayaknya pecah ini eeeeellllaaaa pas dibuka pecah beneran bad seller bener bener bad seller mau untung aja tanpa peduli keadaan produk kalo gak ada untung n pelit pakingan ya jgn jualan barang sudah retur mudah mudahan barangnya cepat di kirim lg d,hadiyanto,1.0
barang diterima pada hari akhir yg dijadwalkan yaitu malam hari kondisi barang terlindungi dengan packing bawaan unit kualitas unit adalah kualitas sharp semoga awet bila unit ini dikirim dari gudang lazada di bogor mestinya bisa lebih cpt tiba bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di bogor,Fajar H.,4.0
masukan saja klo bisa packingnya jangan asal dikasih buble wrap minimal ini cuma dipacking pakai plastik biasa sempet khawatir pecah tpi untung gk terjadi,aryanto,4.0
pesanan sesuai dgn yg di gambar skrg sy lg coba smoga awet,Abdul A.,4.0
pengiriman tidak sesuai tanggal yang tertera,Edi S.,2.0
sesuai no tipu2,Lazada Customer,5.0
barang ok packing rapih,Pohin,5.0
barangnya sampai dengan cepat bagus terimakasih lazada,Nilam R.,5.0
pengiriman cepat packirng rapih harga murah free ongkir,Pohin,5.0
mantapp barang nya sesuai pesanan,ming F.,5.0
jangan pernah beli disini parah banget barang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll,kiky p.,1.0
hati hati ini tv ga bisa pake usb,Muhammad A.,1.0
puas,Lukas P.,5.0
mantap,ming F.,5.0
sangat puas dengan produknya terimakasih,Lazada Guest,3.0
memuaskan produk sesuai deskripsi packing bagus dan penerimaan produk cepat untuk saya yg berada di jkt,Fitriyansyah,5.0
kenapa chargernya tidak lengkap g bisa langsung dipakai buat charger kita harus nyari dan beli lagi sambungan buat chargernya tolong d bantu,Sahrul A.,3.0
ini spek ram nya 2gb atau 4gb,Dani,1.0
gan saya sarankan untuk lebih berhati hati dalam membeli flashdisk yang dikirim ke saya adalah flashdisk rekondisi daur ulang bekas jangan tertipu oleh harga mas dosa mas bohong di flashdisknya ada tulisan nama aryo yang sengaja dihapus tp kurang bersih file yang dikirim ke flashdisk juga error makan duit haram mas kenyang tp ga berkah,Rayndra A.,1.0
barang cepat sampainya kualitas fd kurang bagus file yang di copy sering corrupt,Satya P.,2.0
palsu,Hendri,1.0
very good,DHEA P.,5.0
korup terus klo di copy ke fd mengecewakan,Tjan H.,1.0
hardisknya keren pelindungnya kokoh udah ada aplikasi transcend elitenya di dalam untuk enkripsi thanks seller and lazada,Pieter C.,5.0
sampainya agak lama tapi puas packing rapi dan pas dateng warnanya biru seneng banget gan hehe top deh semoga awet barangnya,zara,4.0
trims lazada reseller barang sdh saya terima senin siang penigiriman sesuai dengan yg di informasikan,Maesaroh,5.0
sesuai spek yg saya mau jd oke lah,Uli,5.0
barangnya bagus rapi tidak mengecewakan akan tetapi bagus kalau ada bonus pouch nya hehhe,bahari,5.0
barang udah sampe gunn masih segell dari pabriknya mangstabb,Temon,5.0
barang tlah diterima kondisi baik,Yaya S.,5.0
barang sesuai deskripsi penjual ramah respon cepat,Nicho P.,5.0
packaging rapi flashdiksnya ori kapasitasnya sesuai dengan detail produk yang dicantumkan dan foto dengan barangnya sesuai barangnya datang sesuai tepat waktu makasih ya,Muhammad R.,5.0
flashdisknya sudah diterima dengan baik kapasitas total 58 544 586 752 bytes dengan fat32 menjadi 62 885 724 160 bytes kalau diformat dengan exfat write speed 10mb s dan read 30 mb s dengan port usb 2 0 belum dicoba dengan port usb 3 0,Johann S.,5.0
terima kasih barang bagus dan respon penjual sgt baik,Dian A.,5.0
barang sudah diterima dgn baik packing rapih tp isinya cuma 58gb selebihnya oke,Elisa P.,5.0
pas cocok buat anda semua bgus sesuai deskripsi,Michael O.,5.0
puas,Novi A.,5.0
flashdisk 64gb casing metal baguss,Yanti,5.0
sesuai deskripsi,rizki E.,5.0
barang dah sampai makasih,fauzi A.,5.0
mantap barang gak minus sama sekali,Lazada Customer,5.0
pengiriman cepat packing cukup bagus,Febian M.,5.0
biarkan bintang yang berbicara,Dirawan,5.0
barangnya ok cepat sampai,Erwin J.,5.0
pengirimannya cepat produk baik,Lazada Customer,5.0
barang sesuai dengan deskripsi dan berfungsi baik,Chandra K.,5.0
sampai cepat barang sesuai,Lazada Customer,5.0
dikirim hari berikutnya dan barang mulus,dwi S.,4.0
oke,herry P.,5.0
baik,Lazada Customer,4.0
ram 8gb atau 4gb,Alwan P.,2.0
tv led dengan pilihan input yang lengkap hdmi dv vga kami beli untuk keperluan kantor yang penggunaannya bisa multi source panasonic satu satunya merk yang menyediakan fasilitas ini sepanjang pengetahuan kami kualitas gambar juga bagus dengan bezel tipis yang memberikan kesan lega extra bracket memudahkan pemasangan di dinding bravo panasonic,Kurniawan,5.0
cuma butuh waktu 12 jam unit tiba thks,hanif s.,5.0
mau cicilan gmn caranya6,Rosana U.,1.0
nyicil dengan cara mudah prosesnya susah nggak,Lazada Guest,3.0
pokonya puas,Lazada Guest,5.0
puas bgt pengiriman sesuai jadwal barang bagus packing rapih buat maen game enak bgt hihii murah lagi tenkyu lazada,Muhammad R.,5.0
saya igin pesan tapi packingnya kalo bisa harus rapih dan aman jadi barang terlindungi untuk saat ini bintang 3 nanti kalo barangnya udah diterima dan bagis jadi 5 bintang,Gani R.,3.0
saya kurang yakin produk ini genuine karena hologramnya pun tidak ada dan kartu garansinya pun tidak ada hanya keterangan saja di dusnya bahwa barang ini original resmi indonesia bergaransi dengan diberi nomor telpon service centernya memory yang tersedia ternyata juga tidak sampai 2 tb tetapi 1 81 tb selisih 0 19 tb besar banget selisihnya tidak mungkin juga terpakai untuk sistemnya sampai begitu banyak tapi tidak begitu masalah eksternal hardisk ini bekerja bagus cepat dan hadiah hardcase cukup bagus untuk melindungi barang ini dari debu dan benturan sayangnya saat di registrasi ke official webnya wd ternyata identification numbernya tidak dikenal tidak valid alias barang ini bukan asli alias kw seller responsif sayangnya tidak memberitahu asli tidaknya barang ini pengiriman terhitung cepat dalam 2 hari barang sudah di tangan mudah2an saja barang ini awet wslaupun tdk original,Lazada Customer,3.0
barang bagus peking rapih gua rekomendasikan banget lah klo barangnya cma sayang pengiriman lama kaya ampas jne dioper sana sini barang gua ga ga muncul2 harus di komplen dlu cs ny kali baru ngerti mending buat pengiriman lain deh lbi bgus,Lazada Customer,3.0
mantab speed konsisten total size asli 1 81gb pas sejauh ini masih normal digunakan nice job seller n lazada,Dovicky A.,5.0
barang belum terima pihak lazada bilang sidah diterima cek di jne lhoksukon aceh utara barang tidak ada ada masalah petigasnya tdk ramah dan tdk ada solusk mana yg benar email ke cs jne sama cs lazada tdk ada reapon bagaimana nasih barang saya harga 1 jt an,Ruli W.,1.0
smuanya mntap,Keong I.,5.0
pengiriman cepat hr ini kirin lusa udh terima packing rapi pake bubble jg kwalitas product oke tq,Yuli S.,5.0
saya rekomendasikan beli disini,denys T.,5.0
sudah sampaiii,Rusli C.,5.0
warna sesuai pesanan spek persis ok dah,Lazada Customer,5.0
thanks respon cepat hdd ext 2tb sampai sesuai pesanan,faesal K.,4.0
original packing rapi,Rahmat M.,5.0
barang good condition and delivery ok,tetty N.,5.0
barang oke,Albert A.,5.0
foto produk sesuai dengan asli warna birunya bagus saya pesan dan bayar produk ini pada tanggal 21 oktober 2018 dan produk ini datang pada tanggal 23 oktober 2018 dalam kondisi baik dan berfungsi untuk macbook pro saya meskipun saya harus format dahulu saya mendapat bonus poket untuk external hdd saya ini mudah mudahan produk ini awet terima kasih lazada,Vian B.,4.0
packing rapi dan pengiriman tepat waktu sejauh ini berfungsi dengan baik harapannya semoga awet ni barang,Lazada Customer,5.0
barangnya bagus kecil compaq dan packing baik,Deni A.,5.0
good product with reasonable price,Thomas D.,5.0
packing rapi kualitas oke fitur2 persis seperti deskripsi desain keren cuma yg kurang puas di segi kecepatan transfer hanya mentok di 9 10 mb s,Indra P.,5.0
gmn nih lazada saya liat iklannya flashdisk tapi yg dikirim koq malah flashdrive mohon penjelasannya barang sdh saya buka saya br x ini kecewa,jhonay,1.0
smua yang di ulasan bener smua apa mreka kata kapasitas terbaca 29 5gb karena terpakai sistem pengiriman lebih cepat dari extimasi,Eko p.,5.0
barang sdh diterima pengirimannya cepat data yg terbaca 29 1gb iya karena space 32gb tdk terbaca 32gb full terima kasih atas fast responnya n barangnya ori,Nyoman A.,5.0
pengiriman cepet tapi tranfer failnya lemot,Dede R.,5.0
flashdisknya bagus tapi jatoh sama teman akhirnya rusak untuk mengeluarkan nya,Abdul R.,4.0
cepet sampai barang asli bagus lah thanks lazada,Lazada Customer,5.0
barang cepat cuma 2 hari garansi resmi mantabb,Adriyansyah,5.0
cepet sampai 1 hari udah sampai barang bagus gk cepet panas walau di pake lama pokoknya mantab,Hofur S.,4.0
bagus packing rapi modelnya aku suka thanks lazada,Isnaini,5.0
barang bagus pertahankan,Rio S.,5.0
barangnya sudah saya terima kondisi sangat baik trimakasih lazada,SAFAR,4.0
produk oke dan original by datascrip tapi sayang kapasitas bersihnya 29gb,Ega D.,4.0
pengiriman cepet barang bagus transfer data lebih cepat daripada tipe cruzer switch,Meilinda H.,5.0
produk mantap sesuai deskripsi,Sayyuda F.,5.0
good,Ficky,5.0
produk sesuai pengiriman cepat,Lazada Customer,5.0
produk bagus,David A.,5.0
barang sangat bagus trimakasih,Lazada Customer,5.0
barang yg dikirim tidak seperti yang di gambar,Dwi D.,2.0
barang yg sampe cruzer yg biasa tidak sesuai di gambar tapi size nya 64gb,Muhammad A.,4.0
cukup bagus,Tarmudi,5.0
knpa prosesnya lama apa gagal atau sya harus pesan lagi,Lazada Guest,2.0
barang saya ko gaada ya padahal saya ngasih alamatnya bener dan saya cek di situs jnenya alamat tujuannya kok salah mohon diperiksa kembali saya beli barang bebarengan dengan yang lain yg lainnya udh sampai tapi beli di sini gaada barangnya sampai sekarang,wahid y.,1.0
kecewa alias barang aspal ya lumayan buat isi mp3 sih banyak lagunya,Lazada Customer,3.0
flashdisk 64gb tpi isi cm 2gb gk bs dipakai,Dian k.,1.0
tidak bisa berfungsi menyimpan data,Achmad M.,1.0
barang tidak pernah sampai yg hitam yg putih ga bisa dipake,Giacinta,1.0
pengiriman lama warna yang dateng putih bukan hitam,Aysa,1.0
krn pesanan tdk sesuai dengan kirimannya dr warna saja saya pesan hitam dikirm putih dan tidak bisa dipakai di labtop anak saya seharusnya tidah seperti itu yah,Mengulas s.,1.0
flashdisk saat dicopy file yg kebaca setengah doang ud mana beli 2 saya tertipu pantes g garansi hati hati untuk yg mau beli,ridwan,1.0
ketika barang datang masih di luar kota 2 minggubkemudian baru cek barang dari awal muncul pertanyaan karena di pembungkusnya sendiri tulisannya toshiba kapasitas 8 gb sedangkan di flashdisk memang tertulis 64 gb setelah dicoba untuk kopi file ternyata banyak yang failed dan yang berhasil dikopi ternyata juga tidak dapat dibuka sepertinya ini hanyalah produk gagal buatan oem yang dibuat asal asalan untuk dijual murah dan pihak toko terlanjur membeli dalam jumlah banyak kemudian berusaha menjual dengan segala cara,surya a.,1.0
rusak gk bisa dipakai kapok,dhini m.,1.0
ga bisa dipakai,Adha S.,1.0
barangnya lama sekali,Fernando,1.0
produk jauh dari yang diharapkan sangat kecewa,Helmy A.,1.0
kok dapet nya warna biru,Lazada Customer,1.0
barang diterima cepat seller n lazada pelayanan bagus kemasan rapi kasih plastik tebal lagi good tvnya cakep sesuai gambar n speknya display cukuplah sesuai sempat ada baut casing lepas dikencangkan ternyata bisa recomended buat yang nyari,aryadi,5.0
ini tv jg bs jadi monitor pc kan,Amira R.,4.0
boleh kredit bang,Lazada Guest,5.0
1 hari order besok langsung sampai fast respon fast seller,Liana,5.0
biar bintang yang berbicara,Liana,5.0
bagus barangnya,Kusnadi,5.0
mantab reseller nya pengiriman cepat dan pakingan ok thank s reseller dan lazada sukses selalu buat reseller dan lazada,Kusnadi,5.0
packing dan barangnya ok namun bonus pouch ukurannya terlalu kecil untuk tempat hardisk nya,Lazada Customer,5.0
pengiriman cepat kualitas gambar bagus terutama kualitas suaranya oke dvb t2 berfungsi baik cuma remote ada yg error tombol source tidak fungsi jd kalau mau ganti ke usb hdmi atau lainnya mesti pencet tombol fisik di tvnya sudah minta ganti ke seller malah disuruh contact aquanya kata aqua kalau remote rusak dan baru beli bisa minta ganti ke tokonya ribet deh dipingpong,Wisnu V.,2.0
ini layar sentuh bukan yah,Desy N.,3.0
saya pesan uang sdah d transfer tapi barng tdk sampai,juliyana,1.0
bagi yang minat order pesan barang kami silahkan add whatsapp wa 085200343400 langsung dari reseller toko terimah kasih,Haji A.,5.0
hi sist gan stocknya masih ready informasi produk kami silahkan chat add whatsapp 0852 5468 9727 respon cepat aman terpercaya pengiriman via jne tiki seller resmi lazada terima kasih,lazada.co.id,5.0
untuk info buat pelanggan setia kami di karenakan lazada slow respon cepat aman dan terpercaya kami buka orderan pemesanan beli 1 garatis 1 melalui via whatsapp wa 085250720044,Kalina,5.0
bagi yang minat order pesan barang kami untuk lebih memastikan silahkan add whatsapp wa 085200343400 langsung dari reseller toko terimah kasih,Haji A.,5.0
klu cicilan gmn cranya yah,Lazada Guest,1.0
saya dari sumba timur waingapu,Lazada Guest,4.0
cara kredit nya bagaimana,Lazada Guest,5.0
bisa di cicil gak,Lazada Guest,3.0
laptop nya bagus,Lazada Guest,5.0
tidak bisa di kurangi ya biar jadi 1 000000,Lazada Guest,1.0
ini berapa inci ya layarnya,Ad,3.0
ini bayar di tempat apa tidak,Lazada Guest,1.0
bayar ditempat,Lazada Guest,3.0
caranya gmn ya,Lazada Guest,1.0
rizi,Lazada Guest,4.0
ditulis khusus jabodetabek tp tersedia diwilyah lampung dibeli tp dicancel krn diluar daerah klo gk bisa harusnya dtulis tdk tersedia diwil anda,joko b.,1.0
gmana caranya klw mau ikut kredit di lazada,Nursih H.,3.0
bisa kiri ke kota blitar tidak,Yulia,1.0
klw di kirim k karawang bisa gak,Lazada Guest,2.0
gambarnya tidak keliatan,Fitra R.,2.0
terimakasih barang nya memuaskan semoga awet juga,Lazada Customer,5.0
mantuulll,Santi D.,5.0
makasih gan tapi produk nya saya mesen yang 16gb dateng nya mlh yang 32gb mungkin slh masukin produk,Viqri H.,5.0
alhamdulillah puas wlau pengirimannya hmpr mlm tpi semuanya ok,Lazada Customer,5.0
barangnya bagus suara dan gambar jernih mudah mudahan awet pengepakanya rapi datang tepat waktu kurirnya juga ramah makasih lazadd,Mujari,5.0
barang cukup memuaskan seller responsif packing aman karena dari kayu yah tpi pengirimannya agak sedikit lama tpi its ok yang penting barang sudah sampai,Salman A.,5.0
packing rapih dan aman banget barangnya pengiriman cepat hari ini order besok langsung dateng pokonya seller recommended dari segi harga juga bersaing d,Herdy S.,5.0
tv nya sudah datang alhamdulillah amin,Herman N.,1.0
produknya sesuai dgn gambar puas bgt,Martha P.,5.0
tv a bagus bngt layar a jga jernih bngt,maudi S.,5.0
puas sama produknya bagus n berkualitas,Myda S.,5.0
good job,siti K.,5.0
bgs,Ryan N.,5.0
siip,Sur M.,5.0
aku puas banget sama layanan di lazada pengirimannya cepat barangnya juga gak lecet sedikit pun terimakasih lazada,Chaeira P.,5.0
min ram nya emang segitu,Lazada Guest,5.0
barang asli dan sesuai,Lazada Customer,5.0
wd my passport 4tb harga paling murah dibanding tempat lain sudah cek online dan offline barang bagus sudah di cek total kapasitas 3 64tb original bisa di register ke web wd nya untuk garansi 3 thn diberi beberapa software utility free diantaranya wd security untuk protect hd agar tdk bisa dibuka orang lain dan ada bonus pouch lumayan buat tempat hd nya,Robby,5.0
order mi notebook air gold 12 5 inch sampai sesuai harapan barangnya asli packagingnya aman bagus sellernya informatif cepat dikirimnya dan sudah ready terinstall dengan windows 10 english version terima kasih banyak seller,Saki,5.0
pengiriman barang ternyata sangat cepat hari ke 2 barang sudah diterima dalam keadaan baik packing rapih dan setelah dicek laptop bekerja sesuai harapan terima kasih atas layanannya yang sangat baik,Sonny G.,5.0
pengirimannya benar benar top packingnya rapi dan aman barangnya oke windowsnya udah pakai win 10 english version top deh,Lazada Guest,5.0
lebih keren dari perkiraan awal windows 10 sudah dikonfersi ke bahasa inggris mantab,Candra H.,5.0
gan kok gak dapat di kirm ke nad disitu tertulis barang ini tidak dapat di kirim ke lokasi anda,Lazada Guest,5.0
mbak mas kabari ya barang kalau udah ready stok saya rencana mau order mkasih,IVO S.,5.0
pelayanannya baik,Miranda G.,5.0
pengiriman cepat barang di terima dengan baik dan lengkap langsung coba dapat bonus usb led dll recommended seller,Setyo W.,5.0
barang bagus awet sampai sekarang,Fardyan C.,5.0
pemasangan anti virus oleh pihak wd secara online dibantu memasang juga mantap lazadaterpercaya,U S.,5.0
pengiriman cpt smp produk bagus sesuai gambar trims,Lia N.,3.0
saya kira antivirusnya ada kasetnya eh ternyata cuma dikasih nomor serial disuruh download sendiri overall bagus lah pengiriman cepat cuma 1 hari datang,Aditya F.,4.0
hrg bersaing bagus,Yamani S.,5.0
bagus koq cm gak pake antivirusnya aja ribet sih d,Inge,5.0
ntaps,Luki M.,5.0
barang sudah diterima dan pengiriman lumayan cepat tapi ada 2 hal yg harus penjual perhatikan 1 di etalase tv dijual dengan bonus free braket tapi yang datang cuma tv nya doang braketnya ga ada 2 ongkir tercantum rp 200 000 saya kirim sesuai yg tercantum tp pas di cek di resi yang tercantum oleh ekspedisi cobra ternyara cuma 75 000 tetep konsumen yang dirugikan toko ini jadi catatan buat saya kecuali menylesaikannya,Nurkamal,2.0
tv nya udh seminggu blm sampai juga sepertinya harus meningkatkan pengiriman nya lebih diperhatikan supaya sampai sesuai estimasi thanks,Lazada Guest,3.0
ini bisa nonton dengar music liat poto via usb gk,Lazada Guest,5.0
sesuai pesanan bagus thanks gan,qorny,5.0
produk dgn pesanan no 3288859132 sudah diterima,Nicky S.,5.0
ok sesuai sm deksripsi,Lazada Customer,5.0
alhamdulillah barang sampai dengan aman karna peking yang bagus semoga barang awet selalu amanah dan lancar rejekinya amiin,Windi W.,5.0
sesuai dengan pesanan semoga awet ya,Lazada Customer,5.0
kualitas ori kapasitas sesuao dengan dekripsinya,Indra W.,5.0
barang bagus dengan harga ok,Najmy U.,5.0
barang bagus dan berfungsi,Muhamad A.,4.0
virus shortcut,Lazada Customer,1.0
packing ok barang sesuai deskripsi,Herman K.,5.0
barangnya tiba dengan selamat cepat tapi kemasan otg nya nggak memuaskan,Lazada Customer,3.0
siiplah pokonya thanks lazada,Lazada Customer,5.0
mudah2 n awet barang nya ada hologram nya,Atin S.,5.0
suka bgt barangx mulus lus lus and berfungsi dgan baik thanks lazada,Bahri S.,4.0
barang sampe sesuai pada waktu nya packingan rapi terima kasih lazada,Junaedi A.,5.0
mudah2n awet amin,ayi M.,4.0
warna tidak sesuai,Lazada Customer,4.0
eliminasi 2 hari packing rapi tapi warna gak sesuai yang di ingini tapi barang normal work,Moch.Mughni,4.0
product oke sesuai destkripsi dapet tas backpack jga recomend seller good dah pkknya,Utamy A.,5.0
laptop nya dikirim sangat top modal kaciwa,bambang P.,5.0
sesuai dengan keinginan dan kebutuhan,Lazada Customer,5.0
paket sudah saya terima terlambat sedikit pengirimannya tapi tidak apa apa thanks lazada,Ahmad S.,5.0
respon cepat dan pengiriman cepat via go send,Deniel,5.0
flashdisk baru waktu pas beli lagi diskon packagingnya jga rapih so far so good,Mia,5.0
barang cepet sampe thanks,Ikbal,5.0
brg sesuai cuma delivery agak lama,Tommy,4.0
ok deh mantep,Nur R.,5.0
flashdisk sandisk ok banget ada bonus lagi terima kasih,Lazada Guest,5.0
barangnya bagus untuk harga semurah ini,john,5.0
gan saya pesan warna biru kok yang datang warna merah,Tita M.,2.0
8 hari baru sampai sistemnya kosong root saja tampil jadi hrs install ulang packingan rapi dan tersegel,Muhammad M.,3.0
barang yg di kirim tidak sesuai dengan yang di tampilkan,I n.,2.0
barang sudah sampe untuk pengriman ke kupang ntt waktunya termasuk cepat packing safe dan rapi barang sesuai gambar dan spek yang ditawarkan tx lazada kenkez,Sonny S.,5.0
tengkyuu barangnya nyampe tepat waktu packing rapi dan savety banget recommended seller,Fitria W.,5.0
terlambat satu hari karena kurir sampai dikantor pada malam hari jd besoknya baru bisa saya terima tp barang saya terima dengan baik terima kasih,Mon R.,4.0
barang sesuai pemesanan pengiriman cepat jakarta,nat T.,5.0
harddisk berjalan dengan baik kelengkapan juga oke,Andi A.,5.0
2bulan pake crashed pdhl ga prnah jatoh,Lazada Customer,1.0
jum at pesan besoknya nyampai barang bagus tdk ada cacatnya terima kasih lazada,harry d.,5.0
maaf baru sempat review secara umum cukup puas dengan layanan penjual packing bagus rapih dan aman fisik barang sesuai gambar dan ulasan yang ada di website hanya saya mis informasi aja karena ternyata hd external wd ini gak dapat sarungnya overall saya rekomendasi sellernya thanks dan tingkatkan selalu pelayanannya sukses,Ricky P.,5.0
mantapppp,Lazada Customer,5.0
bagus sesuai pesanan,Izharrudin,5.0
flashdisk nya lucu sesuai dengan gambar pokoknya suka,Hanifah -.,5.0
cukup memuaskan,Willem,2.0
sip,Ahmad A.,4.0
diresponnya cepat 2 hari datang usb nya gak mengecewakan sama kayak yang digambar,Sachi S.,5.0
barang diantar dengan cepat dan sesuai dengan penjelasan yang ada penjual merespondengan cepat,Eka F.,4.0
wkt baca2 di keterangannya ini bkn ori alias kw tp coba krn review yg lain jg ok tp memang ok bgt bs dipakai dgn baik bole yg mau beli,Lazada Customer,4.0
barang nya sesuai dan mulus di bungkus rapi,Panji S.,3.0
matul bangetz barangnya berfungsi sesuai harapan sukses trus bwt toko dan lazada pengiriman super cepat blum waktunya udah lngsung dikirim mantul dah poko e,Nassuri,5.0
